Date,Open,High,Low,Close,Adj_close,Volume,Normalized_sentiment
1962-11-20,5.4067502,5.4067502,5.24655008,5.2625699,1.26429904,130400,0.5
1962-11-21,5.4067502,5.4067502,5.30662489,5.32264519,1.27873123,83800,0.5
1962-11-23,5.32264519,5.50687504,5.32264519,5.50687504,1.32299149,85800,0.5
1962-11-26,5.50687504,5.55493498,5.41476011,5.41476011,1.30086088,68500,0.5
1962-11-27,5.43878984,5.63903999,5.43878984,5.63903999,1.35474396,173700,0.5
1962-11-28,5.65505981,5.81525993,5.65505981,5.80725002,1.39515471,72500,0.5
1962-11-29,5.80725002,5.82326984,5.63903999,5.6630702,1.36051726,77900,0.5
1962-11-30,5.6630702,5.70712519,5.50687504,5.52289486,1.32684183,72500,0.5
1962-12-03,5.50687504,5.50687504,5.33866501,5.4067502,1.29893768,68500,0.5
1962-12-04,5.41476011,5.55493498,5.41476011,5.51488495,1.32491601,77900,0.5
1962-12-05,5.52289486,5.62302017,5.52289486,5.60699987,1.34704638,58500,0.5
1962-12-06,5.53090477,5.53090477,5.4067502,5.45481014,1.31048346,80500,0.5
1962-12-07,5.42277002,5.42277002,5.35468483,5.42277002,1.30278635,41900,0.5
1962-12-10,5.42277002,5.53891516,5.35468483,5.35468483,1.28642893,67900,0.5
1962-12-11,5.35468483,5.43077993,5.3306551,5.4067502,1.29893768,54500,0.5
1962-12-12,5.4067502,5.50687504,5.34667492,5.35468483,1.28642893,60500,0.5
1962-12-13,5.35468483,5.46282005,5.3306551,5.3306551,1.28065705,56500,0.5
1962-12-14,5.3306551,5.3306551,5.2625699,5.3146348,1.27680743,43900,0.5
1962-12-17,5.3146348,5.34667492,5.21450996,5.21450996,1.25275385,96500,0.5
1962-12-18,5.21450996,5.24655008,5.12239504,5.12239504,1.23062384,78500,0.5
1962-12-19,5.12239504,5.33866501,5.12239504,5.30662489,1.27488267,65900,0.5
1962-12-20,5.30662489,5.36269522,5.23854017,5.26657486,1.2652607,88500,0.5
1962-12-21,5.26657486,5.3146348,5.21450996,5.21450996,1.25275385,75900,0.5
1962-12-24,5.22251987,5.42277002,5.22251987,5.4067502,1.29893768,47900,0.5
1962-12-26,5.4067502,5.45481014,5.35468483,5.36269522,1.28835368,65900,0.5
1962-12-27,5.42277002,5.52289486,5.42277002,5.42277002,1.30278635,70500,0.5
1962-12-28,5.43077993,5.50687504,5.43077993,5.45481014,1.31048346,61900,0.5
1962-12-31,5.45481014,5.45481014,5.41476011,5.44680023,1.30855858,54500,0.5
1963-01-02,5.44680023,5.46282005,5.36269522,5.36269522,1.28835368,62500,0.5
1963-01-03,5.4067502,5.53891516,5.4067502,5.44680023,1.30855858,76500,0.5
1963-01-04,5.53090477,5.6470499,5.53090477,5.6470499,1.35666835,65900,0.5
1963-01-07,5.6470499,5.73115492,5.6470499,5.6470499,1.35666835,59900,0.5
1963-01-08,5.72314501,5.83929014,5.72314501,5.74717522,1.38072205,73900,0.5
1963-01-09,5.84730005,6.02351999,5.84730005,5.84730005,1.40477753,94500,0.5
1963-01-10,5.92339516,6.00750017,5.92339516,5.92339516,1.42305779,111800,0.5
1963-01-11,5.92339516,5.96344519,5.91538477,5.93941498,1.42690754,32500,0.5
1963-01-14,5.93941498,6.03953981,5.93941498,5.94742489,1.42883039,55900,0.5
1963-01-15,5.94742489,6.03953981,5.93941498,5.93941498,1.42690754,44500,0.5
1963-01-16,5.92339516,5.92339516,5.80725002,5.80725002,1.39515471,50500,0.5
1963-01-17,5.80725002,5.92339516,5.75518513,5.92339516,1.42305779,39900,0.5
1963-01-18,5.94742489,6.03953981,5.94742489,6.03953981,1.45096171,59900,0.5
1963-01-21,5.96344519,5.96344519,5.92339516,5.96344519,1.43268013,38500,0.5
1963-01-22,5.96344519,5.96344519,5.90737486,5.93941498,1.42690754,10600,0.5
1963-01-23,5.93941498,5.93941498,5.90737486,5.90737486,1.419209,24500,0.5
1963-01-24,5.86331987,5.86331987,5.84730005,5.84730005,1.40477753,28500,0.5
1963-01-25,5.84730005,5.90737486,5.80725002,5.83929014,1.40285277,36500,0.5
1963-01-28,5.70712519,5.70712519,5.70712519,5.70712519,1.37110031,47900,0.5
1963-01-29,5.70712519,5.72314501,5.65505981,5.70712519,1.37110031,48500,0.5
1963-01-30,5.72314501,5.80725002,5.72314501,5.74717522,1.38072205,57900,0.5
1963-01-31,5.74717522,5.81525993,5.74717522,5.76319504,1.38457024,37900,0.5
1963-02-01,5.76319504,5.76319504,5.7151351,5.76319504,1.38457024,40500,0.5
1963-02-04,5.76319504,5.76319504,5.63903999,5.6630702,1.36051726,27900,0.5
1963-02-05,5.6470499,5.6470499,5.60699987,5.6470499,1.36390316,40500,0.5
1963-02-06,5.6470499,5.7151351,5.63903999,5.65505981,1.36583757,28500,0.5
1963-02-07,5.65505981,5.70712519,5.62302017,5.62302017,1.35809922,33900,0.5
1963-02-08,5.62302017,5.63103008,5.54692507,5.56294489,1.34358966,34500,0.5
1963-02-11,5.54692507,5.54692507,5.50687504,5.50687504,1.33004797,37900,0.5
1963-02-12,5.50687504,5.50687504,5.45481014,5.45481014,1.3174721,23900,0.5
1963-02-13,5.45481014,5.55493498,5.43878984,5.55493498,1.34165502,73900,0.5
1963-02-14,5.55493498,5.70712519,5.54692507,5.6470499,1.36390316,75900,0.5
1963-02-15,5.6470499,5.74717522,5.63103008,5.70712519,1.37841344,56500,0.5
1963-02-18,5.72314501,5.82326984,5.72314501,5.74717522,1.38808489,54500,0.5
1963-02-19,5.74717522,5.76319504,5.72314501,5.73916483,1.38615119,70500,0.5
1963-02-20,5.73115492,5.73115492,5.65505981,5.6630702,1.36777306,51900,0.5
1963-02-21,5.6630702,5.6630702,5.56294489,5.61500978,1.35616493,73900,0.5
1963-02-25,5.61500978,5.63103008,5.55493498,5.60699987,1.3542304,40500,0.5
1963-02-26,5.60699987,5.62302017,5.55493498,5.60699987,1.3542304,22500,0.5
1963-02-27,5.60699987,5.62302017,5.51488495,5.51488495,1.33198094,40500,0.5
1963-02-28,5.51488495,5.54692507,5.43878984,5.44680023,1.31553757,76500,0.5
1963-03-01,5.44680023,5.52289486,5.36269522,5.36269522,1.29522395,51900,0.5
1963-03-04,5.36269522,5.43878984,5.32264519,5.42277002,1.30973315,54500,0.5
1963-03-05,5.41476011,5.41476011,5.30662489,5.30662489,1.28168166,86500,0.5
1963-03-06,5.30662489,5.32264519,5.23854017,5.30662489,1.28168166,35900,0.5
1963-03-07,5.33866501,5.42277002,5.33866501,5.41476011,1.30779815,54500,0.5
1963-03-08,5.41476011,5.45481014,5.41476011,5.45481014,1.3174721,67900,0.5
1963-03-11,5.45481014,5.50687504,5.43878984,5.44680023,1.31553757,39900,0.5
1963-03-12,5.44680023,5.50687504,5.44680023,5.44680023,1.31553757,20500,0.5
1963-03-13,5.35468483,5.35468483,5.30662489,5.33866501,1.28941977,37900,0.5
1963-03-14,5.33866501,5.4067502,5.33866501,5.33866501,1.28941977,66500,0.5
1963-03-15,5.33866501,5.35468483,5.33866501,5.35468483,1.29328966,31900,0.5
1963-03-18,5.34667492,5.34667492,5.30662489,5.30662489,1.28168166,90500,0.5
1963-03-19,5.2625699,5.2625699,5.23854017,5.24655008,1.26717269,56500,0.5
1963-03-20,5.24655008,5.24655008,5.20650005,5.23854017,1.2652365,55900,0.5
1963-03-21,5.23854017,5.25455999,5.15443516,5.15443516,1.2449249,48500,0.5
1963-03-22,5.15443516,5.23854017,5.12239504,5.14642477,1.24298978,105800,0.5
1963-03-25,5.14642477,5.21450996,5.13841486,5.15443516,1.2449249,40500,0.5
1963-03-26,5.20650005,5.24655008,5.20650005,5.21450996,1.25943339,41900,0.5
1963-03-27,5.21450996,5.3306551,5.21450996,5.3306551,1.28748536,42500,0.5
1963-03-28,5.3306551,5.35468483,5.30662489,5.30662489,1.28168166,42500,0.5
1963-03-29,5.30662489,5.32264519,5.25455999,5.25455999,1.26910603,34500,0.5
1963-04-01,5.25455999,5.3306551,5.22251987,5.23052979,1.26330352,61900,0.5
