Date,Article_title,Stock_symbol,Url,Publisher,Author,Article,Lsa_summary,Luhn_summary,Textrank_summary,Lexrank_summary
2020-05-21 00:00:00 UTC,COVID-19 Has Dimmed The Magic Of e-Commerce,AMZN,https://www.benzinga.com/news/20/05/16086797/covid-19-has-dimmed-the-magic-of-e-commerce,IAM Newswire,,,,,,
2020-05-21 00:00:00 UTC,"New Investors Pile In, Fuel Record Rise In Account Openings, Trading Volumes",AMZN,https://www.benzinga.com/fintech/20/05/16086818/new-investors-pile-in-fuel-record-rise-in-account-openings-trading-volumes,Renato Capelj,,,,,,
2020-05-21 00:00:00 UTC,3 Ways Small Businesses Can Get Emergency Help Right Now,AMZN,https://www.benzinga.com/government/20/05/16058010/3-ways-small-businesses-can-get-emergency-help-right-now,AARP,,,,,,
2020-05-21 00:00:00 UTC,Stocks That Hit 52-Week Highs On Thursday,AMZN,https://www.benzinga.com/news/20/05/16085782/stocks-that-hit-52-week-highs-on-thursday,Benzinga Insights,,,,,,
2020-05-21 00:00:00 UTC,Target And Walmart Prove There's Still Some Life In Retail,AMZN,https://www.benzinga.com/news/earnings/20/05/16084271/target-and-walmart-prove-theres-still-some-life-in-retail,IAM Newswire,,,,,,
2020-05-21 00:00:00 UTC,Climate Change: Up And Down Pattern Continues As Week Advances And Powell Awaited,AMZN,https://www.benzinga.com/news/earnings/20/05/16085182/climate-change-up-and-down-pattern-continues-as-week-advances-and-powell-awaited,JJ Kinahan,,,,,,
2020-05-21 00:00:00 UTC,Amazon Pushes Prime Day To To September,AMZN,https://www.benzinga.com/news/20/05/16084886/amazon-pushes-prime-day-to-to-september,Benzinga Newsdesk,,,,,,
2020-05-20 00:00:00 UTC,"Amazon Issues Press Release Highlighting 'Crucible,' Its Free-To-Play Shooter Game",AMZN,https://www.benzinga.com/news/20/05/16080412/amazon-issues-press-release-highlighting-crucible-its-free-to-play-shooter-game,Benzinga Newsdesk,,,,,,
2020-05-20 00:00:00 UTC,"A Challenge To Amazon, As Microsoft And FedEx Enter Multiyear Collaboration",AMZN,https://www.benzinga.com/news/20/05/16071938/a-challenge-to-amazon-as-microsoft-and-fedex-enter-multiyear-collaboration,FreightWaves,,,,,,
2020-05-20 00:00:00 UTC,'Crucible' Is Out: Here's Everything You Need To Know About Amazon's First Video Game,AMZN,https://www.benzinga.com/news/20/05/16078166/crucible-is-out-heres-everything-you-need-to-know-about-amazons-first-video-game,Crystal Mills,,,,,,
2020-05-20 00:00:00 UTC,Facebook's New Shopping Feature Lifts Stock To All-Time Highs,AMZN,https://www.benzinga.com/analyst-ratings/analyst-color/20/05/16077618/facebooks-new-shopping-feature-lifts-stock-to-all-time-highs,Jayson Derrick,,,,,,
2020-05-20 00:00:00 UTC,Stocks That Hit 52-Week Highs On Wednesday,AMZN,https://www.benzinga.com/news/20/05/16076168/stocks-that-hit-52-week-highs-on-wednesday,Benzinga Insights,,,,,,
2020-05-20 00:00:00 UTC,"'Amazon launches its first big-budget game, a shooter called Crucible' -Tweet From CNBC",AMZN,https://www.benzinga.com/news/20/05/16075347/amazon-launches-its-first-big-budget-game-a-shooter-called-crucible-tweet-from-cnbc,Benzinga Newsdesk,,,,,,
2020-05-20 00:00:00 UTC,Facebook Plans To Resume Work In Office In July At 25% Capacity And Safety Measures In Place,AMZN,https://www.benzinga.com/news/20/05/16072397/facebook-plans-to-resume-work-in-office-since-july-at-25-capacity-and-safety-measures-in-place,Neer Varshney,,,,,,
2020-05-20 00:00:00 UTC,Alibaba Invests $1.4B In AI And Internet of Things Systems For Its Smart Speakers,AMZN,https://www.benzinga.com/news/20/05/16072461/alibaba-invests-1-4b-in-ai-and-internet-of-things-systems-for-its-smart-speakers,Shivdeep Dhaliwal,,,,,,
2020-05-20 00:00:00 UTC,McDonald's Faces Class Action Over Lack Of Worker Protection Against Coronavirus,AMZN,https://www.benzinga.com/news/20/05/16072339/mcdonalds-faces-class-action-over-lack-of-worker-protection-against-coronavirus,Neer Varshney,,,,,,
2020-05-19 00:00:00 UTC,Opinion: Is Amazon Really A Winner Of The Pandemic?,AMZN,https://www.benzinga.com/opinion/20/05/16066299/opinion-is-amazon-really-a-winner-of-the-pandemic,IAM Newswire,,,,,,
2020-05-19 00:00:00 UTC,"Amazon Announces New Fulfillment Center In Wilmington, Delaware",AMZN,https://www.benzinga.com/news/20/05/16067241/amazon-announces-new-fulfillment-center-in-wilmington-delaware,Benzinga Newsdesk,,,,,,
2020-05-19 00:00:00 UTC,"Walmart Earnings Look Strong Across the Board, But Home Depot Down After Missing on EPS",AMZN,https://www.benzinga.com/markets/20/05/16065422/walmart-earnings-look-strong-across-the-board-but-home-depot-down-after-missing-on-eps,JJ Kinahan,,,,,,
2020-05-19 00:00:00 UTC,Women's Wear Daily On Monday Published Article 'Hear Amazon in Talks With Penney's',AMZN,https://www.benzinga.com/m-a/20/05/16063578/womens-wear-daily-on-monday-published-article-hear-amazon-in-talks-with-penneys,Benzinga Newsdesk,,,,,,
2020-05-19 00:00:00 UTC,'Hear Amazon in Talks With Penney's' -Yesterday WWD Report,AMZN,https://www.benzinga.com/news/20/05/16063556/hear-amazon-in-talks-with-penneys-yesterday-wwd-report,Benzinga Newsdesk,,,,,,
2020-05-19 00:00:00 UTC,Amazon Warehouse Workers In Seattle Area Can Now Have Access To Company's Virtual Medical Clinic,AMZN,https://www.benzinga.com/news/20/05/16061414/amazon-warehouse-workers-in-seattle-area-can-now-have-access-to-companys-virtual-medical-clinic,Shivdeep Dhaliwal,,,,,,
2020-05-18 00:00:00 UTC,Walmart Earnings Ahead: Sales Figures May Offer Outlook For Spending During Coronavirus Lockdown,AMZN,https://www.benzinga.com/news/earnings/20/05/16059949/walmart-earnings-ahead-sales-figures-may-offer-outlook-for-spending-during-coronavirus-lockdown,JJ Kinahan,,,,,,
2020-05-18 00:00:00 UTC,Does Amazon's Jeff Bezos Smoke Weed?,AMZN,https://www.benzinga.com/markets/cannabis/20/05/16057489/does-amazons-jeff-bezos-smoke-weed,The Fresh Toast,,,,,,
2020-05-18 00:00:00 UTC,"Walmart, Target And Home Depot Among Major Retailers Set To Report Earnings In Days Ahead",AMZN,https://www.benzinga.com/news/earnings/20/05/16056192/walmart-target-home-depot-among-major-retailers-set-to-report-earnings-in-days-ahead,JJ Kinahan,,,,,,
2020-05-18 00:00:00 UTC,Morning Market Stats in 5 Minutes,AMZN,https://www.benzinga.com/intraday-update/20/05/16055442/morning-market-stats-in-5-minutes,Benzinga Insights,,,,,,
2020-05-18 00:00:00 UTC,"Already Soaring, This Online Retail ETF Has E-Commerce Trends In Its Favor",AMZN,https://www.benzinga.com/trading-ideas/long-ideas/20/05/16052578/already-soaring-this-online-retail-etf-has-e-commerce-trends-in-its-favor,ETF Professor,,,,,,
2020-05-18 00:00:00 UTC,"General Atlantic To Invest $871M In India's Jio Platform, Joining Facebook, Vista, Silver Lake As Stakeholders",AMZN,https://www.benzinga.com/news/20/05/16052626/general-atlantic-to-invest-871m-in-indias-jio-platform-joining-facebook-vista-silver-lake-as-stakeho,Neer Varshney,,,,,,
2020-05-17 00:00:00 UTC,"Barron's Picks And Pans: Cisco, Gilead, Netflix, Wayfair And More",AMZN,https://www.benzinga.com/top-stories/20/05/16051966/barrons-picks-and-pans-cisco-gilead-netflix-wayfair-and-more,Nelson Hem,,,,,,
2020-05-16 00:00:00 UTC,"Q1 13F Roundup: How Buffett, Einhorn, Ackman And Others Adjusted Their Portfolios",AMZN,https://www.benzinga.com/news/20/05/16051311/q1-13f-roundup-how-buffett-einhorn-ackman-and-others-adjusted-their-portfolios,Wayne Duggan,,,,,,
2020-05-16 00:00:00 UTC,"Seth 'Scump' Abner Slams 'Call Of Duty: Modern Warfare,' Claims 'Warzone' Saved It",AMZN,https://www.benzinga.com/news/20/05/16049026/seth-scump-abner-slams-call-of-duty-modern-warfare-claims-warzone-saved-it,Crystal Mills,,,,,,
2020-05-15 00:00:00 UTC,13F For Buffett's Berkshire Shows Cut Stake In Amazon From 537.3K To ~533.3K Shares,AMZN,https://www.benzinga.com/general/hedge-funds/20/05/16048418/13f-for-buffetts-berkshire-shows-cut-stake-in-amazon-from-537-3k-to-533-3k-shares,Benzinga Newsdesk,,,,,,
