Date,Sentiment_avg,Last_valid_sentiment,Last_valid_date,Days_since_last_valid,Decayed_sentiment
2020-11-18,,3.5,2020-10-28,21,3.000013768224675
2020-11-19,,3.5,2020-10-28,22,3.000008350850395
2020-11-20,,3.5,2020-10-28,23,3.0000050650467993
2020-11-21,,3.5,2020-10-28,24,3.0000030721061766
2020-11-22,,3.5,2020-10-28,25,3.000001863326586
2020-11-23,,3.5,2020-10-28,26,3.0000011301647036
2020-11-24,,3.5,2020-10-28,27,3.0000006854795433
2020-11-25,,3.5,2020-10-28,28,3.0000004157643594
2020-11-26,,3.5,2020-10-28,29,3.000000252173831
2020-11-27,,3.5,2020-10-28,30,3.00000015295116
2020-11-28,,3.5,2020-10-28,31,3.000000092769568
2020-11-29,,3.5,2020-10-28,32,3.0000000562675875
2020-11-30,4.5,4.5,2020-11-30,0,4.5
2020-12-01,2.75,2.75,2020-12-01,0,2.75
2020-12-02,,2.75,2020-12-01,1,2.8483673350718415
2020-12-03,1.5,1.5,2020-12-03,0,1.5
2020-12-04,3.5,3.5,2020-12-04,0,3.5
2020-12-05,,3.5,2020-12-04,1,3.3032653298563166
2020-12-06,,3.5,2020-12-04,2,3.1839397205857214
2020-12-07,,3.5,2020-12-04,3,3.111565080074215
2020-12-08,2.5,2.5,2020-12-08,0,2.5
2020-12-09,,2.5,2020-12-08,1,2.6967346701436834
2020-12-10,,2.5,2020-12-08,2,2.8160602794142786
2020-12-11,2.5,2.5,2020-12-11,0,2.5
2020-12-12,,2.5,2020-12-11,1,2.6967346701436834
2020-12-13,,2.5,2020-12-11,2,2.8160602794142786
2020-12-14,,2.5,2020-12-11,3,2.888434919925785
2020-12-15,2.0,2.0,2020-12-15,0,2.0
2020-12-16,,2.0,2020-12-15,1,2.393469340287367
2020-12-17,,2.0,2020-12-15,2,2.6321205588285577
2020-12-18,,2.0,2020-12-15,3,2.77686983985157
2020-12-19,,2.0,2020-12-15,4,2.864664716763387
2020-12-20,,2.0,2020-12-15,5,2.9179150013761013
2020-12-21,,2.0,2020-12-15,6,2.950212931632136
2020-12-22,,2.0,2020-12-15,7,2.9698026165776814
2020-12-23,,2.0,2020-12-15,8,2.981684361111266
2020-12-24,,2.0,2020-12-15,9,2.9888910034617577
2020-12-25,,2.0,2020-12-15,10,2.9932620530009144
2020-12-26,,2.0,2020-12-15,11,2.9959132285615357
2020-12-27,,2.0,2020-12-15,12,2.9975212478233337
2020-12-28,,2.0,2020-12-15,13,2.9984965608070224
2020-12-29,,2.0,2020-12-15,14,2.9990881180344453
2020-12-30,3.0,3.0,2020-12-30,0,3.0
2020-12-31,1.5,1.5,2020-12-31,0,1.5
2021-01-01,,1.5,2020-12-31,1,2.0902040104310498
2021-01-02,,1.5,2020-12-31,2,2.4481808382428367
2021-01-03,,1.5,2020-12-31,3,2.665304759777355
2021-01-04,,1.5,2020-12-31,4,2.796997075145081
2021-01-05,3.0,3.0,2021-01-05,0,3.0
2021-01-06,,3.0,2021-01-05,1,3.0
2021-01-07,3.5,3.5,2021-01-07,0,3.5
2021-01-08,,3.5,2021-01-07,1,3.3032653298563166
2021-01-09,,3.5,2021-01-07,2,3.1839397205857214
2021-01-10,,3.5,2021-01-07,3,3.111565080074215
2021-01-11,,3.5,2021-01-07,4,3.067667641618306
2021-01-12,,3.5,2021-01-07,5,3.0410424993119496
2021-01-13,,3.5,2021-01-07,6,3.024893534183932
2021-01-14,,3.5,2021-01-07,7,3.015098691711159
2021-01-15,,3.5,2021-01-07,8,3.009157819444367
2021-01-16,,3.5,2021-01-07,9,3.005554498269121
2021-01-17,,3.5,2021-01-07,10,3.003368973499543
2021-01-18,,3.5,2021-01-07,11,3.002043385719232
2021-01-19,,3.5,2021-01-07,12,3.0012393760883334
2021-01-20,2.5,2.5,2021-01-20,0,2.5
2021-01-21,4.0,4.0,2021-01-21,0,4.0
2021-01-22,1.5,1.5,2021-01-22,0,1.5
2021-01-23,,1.5,2021-01-22,1,2.0902040104310498
2021-01-24,,1.5,2021-01-22,2,2.4481808382428367
2021-01-25,,1.5,2021-01-22,3,2.665304759777355
2021-01-26,2.0,2.0,2021-01-26,0,2.0
2021-01-27,,2.0,2021-01-26,1,2.393469340287367
2021-01-28,3.0,3.0,2021-01-28,0,3.0
2021-01-29,,3.0,2021-01-28,1,3.0
2021-01-30,,3.0,2021-01-28,2,3.0
2021-01-31,,3.0,2021-01-28,3,3.0
2021-02-01,,3.0,2021-01-28,4,3.0
2021-02-02,,3.0,2021-01-28,5,3.0
2021-02-03,,3.0,2021-01-28,6,3.0
2021-02-04,,3.0,2021-01-28,7,3.0
2021-02-05,,3.0,2021-01-28,8,3.0
2021-02-06,,3.0,2021-01-28,9,3.0
2021-02-07,,3.0,2021-01-28,10,3.0
2021-02-08,,3.0,2021-01-28,11,3.0
2021-02-09,,3.0,2021-01-28,12,3.0
2021-02-10,,3.0,2021-01-28,13,3.0
2021-02-11,2.75,2.75,2021-02-11,0,2.75
2021-02-12,,2.75,2021-02-11,1,2.8483673350718415
2021-02-13,,2.75,2021-02-11,2,2.9080301397071393
2021-02-14,,2.75,2021-02-11,3,2.9442174599628927
2021-02-15,,2.75,2021-02-11,4,2.966166179190847
2021-02-16,,2.75,2021-02-11,5,2.9794787503440254
2021-02-17,,2.75,2021-02-11,6,2.987553232908034
2021-02-18,,2.75,2021-02-11,7,2.9924506541444202
2021-02-19,1.5,1.5,2021-02-19,0,1.5
2021-02-20,,1.5,2021-02-19,1,2.0902040104310498
2021-02-21,3.5,3.5,2021-02-21,0,3.5
2021-02-22,,3.5,2021-02-21,1,3.3032653298563166
2021-02-23,,3.5,2021-02-21,2,3.1839397205857214
2021-02-24,,3.5,2021-02-21,3,3.111565080074215
2021-02-25,,3.5,2021-02-21,4,3.067667641618306
2021-02-26,,3.5,2021-02-21,5,3.0410424993119496
2021-02-27,,3.5,2021-02-21,6,3.024893534183932
2021-02-28,,3.5,2021-02-21,7,3.015098691711159
2021-03-01,,3.5,2021-02-21,8,3.009157819444367
2021-03-02,,3.5,2021-02-21,9,3.005554498269121
