Date,Sentiment_avg,Last_valid_sentiment,Last_valid_date,Days_since_last_valid,Decayed_sentiment
2010-06-30,2.0,2.0,2010-06-30,0,2.0
2010-07-01,,2.0,2010-06-30,1,2.39346934
2010-07-02,4.0,4.0,2010-07-02,0,4.0
2010-07-03,,4.0,2010-07-02,1,3.60653066
2010-07-04,,4.0,2010-07-02,2,3.36787944
2010-07-05,,4.0,2010-07-02,3,3.22313016
2010-07-06,4.5,4.5,2010-07-06,0,4.5
2010-07-07,,4.5,2010-07-06,1,3.90979599
2010-07-08,,4.5,2010-07-06,2,3.55181916
2010-07-09,,4.5,2010-07-06,3,3.33469524
2010-07-10,,4.5,2010-07-06,4,3.20300292
2010-07-11,,4.5,2010-07-06,5,3.1231275
2010-07-12,,4.5,2010-07-06,6,3.0746806
2010-07-13,,4.5,2010-07-06,7,3.04529608
2010-07-14,,4.5,2010-07-06,8,3.02747346
2010-07-15,,4.5,2010-07-06,9,3.01666349
2010-07-16,,4.5,2010-07-06,10,3.01010692
2010-07-17,,4.5,2010-07-06,11,3.00613016
2010-07-18,,4.5,2010-07-06,12,3.00371813
2010-07-19,,4.5,2010-07-06,13,3.00225516
2010-07-20,,4.5,2010-07-06,14,3.00136782
2010-07-21,,4.5,2010-07-06,15,3.00082963
2010-07-22,4.75,4.75,2010-07-22,0,4.75
2010-07-23,,4.75,2010-07-22,1,4.06142865
2010-07-24,,4.75,2010-07-22,2,3.64378902
2010-07-25,,4.75,2010-07-22,3,3.39047778
2010-07-26,4.5,4.5,2010-07-26,0,4.5
2010-07-27,,4.5,2010-07-26,1,3.90979599
2010-07-28,,4.5,2010-07-26,2,3.55181916
2010-07-29,,4.5,2010-07-26,3,3.33469524
2010-07-30,2.0,2.0,2010-07-30,0,2.0
2010-07-31,,2.0,2010-07-30,1,2.39346934
2010-08-01,,2.0,2010-07-30,2,2.63212056
2010-08-02,2.0,2.0,2010-08-02,0,2.0
2010-08-03,4.0,4.0,2010-08-03,0,4.0
2010-08-04,,4.0,2010-08-03,1,3.60653066
2010-08-05,,4.0,2010-08-03,2,3.36787944
2010-08-06,,4.0,2010-08-03,3,3.22313016
2010-08-07,,4.0,2010-08-03,4,3.13533528
2010-08-08,,4.0,2010-08-03,5,3.082085
2010-08-09,3.25,3.25,2010-08-09,0,3.25
2010-08-10,,3.25,2010-08-09,1,3.15163266
2010-08-11,2.5,2.5,2010-08-11,0,2.5
2010-08-12,1.0,1.0,2010-08-12,0,1.0
2010-08-13,1.75,1.75,2010-08-13,0,1.75
